text,clean_text,sentiment,emotion
"Thank you sir, for a most illuminating and excellent address to your people . UNFORTUNATELY AUSSIES ARE the least affected, but the most complaining least respectful of other people's feelings or situations.  Can one believe this : they support CUTTING OFF THE WHO FUNDINGS,  THEY just about accuse  SCIENTISTS of smuggling germs for germwarfare. What do you expect, dear Sir, with due respect are these guys FOR REAL. ON CBN  today there was a call for a US PRESIDENT MORE suited to Times like these, in global crisis, well you might say GOD SAVE THE QUEEN, because the way this is going, they're OVER THE TOP HERE, 1. Scientists are now CRIMINALS,  without any proof whatsoever, if parents are advised  NOT TO SEND THEIR CHILDREN TO AUSTRALIA TO STUDY, because of how THEY ARE WELL on the way to BECOMING SCAPEGOATS of INCOMPETENT Australian authorities,  who according to economists knew about ECONOMIC dangers to AUSTRALIA from what was going on in CHINA,  AS EARLY  as NOVEMBER ( ABC ) and yet allowed huge numbers of people to CELEBRATE THE YEAR OF THE BAT..we are in middle of the whole continent on fire, NERO EATING GRAPES, IN HAWAII,  whilst OUR PM, under Acopalyptic conditions- one honestly could hear GRINDING OF THE TEETH, no matter if NERO WAS GRINIDING grapes, and Mme The ministry of Defense,  who now is declaring WAR FROM THE highest of moral grounds, ( I'm only saying this for people to be able to think for themselves,  and without any legal bias, or PREJUDICE,  ) took her LEGALLY OK holiday,  well all these revellers came from all over the world, completely ignoring all those firefighters who were burned alive, those COUNTRY people already suffering because of all the earthquakes to get all that unnecessary Gas, for export, ( by the way, the coal trains NEVER even stopped then ) and all those who lost their lives, then in the midst of March, the HUGE GAY gatherings,  and now all those unexplained clusters of SAARS2 infected city dwellers, and up to now not a single survey asking any of those infected people whether or not they mingled with any of those great Aussie occasions. So it's TIME. ITS TIME to have properly qualified leaders, for serious situations like these, where they admit where they went wrong, where they show compassion and proper respect to others, no matter what their ideologies are, FOR THE SAKE OF THE PEOPLE. listening to scientists,  who as far as 2014 ( HARVARD UNI ) warned about climate change effects, to Prof Phelps, who in 2019 warned us about WHO S warnings about new disease because of CLIMATE CHANGE.\nThe UN meeting is the best place, to look into all this: CLIMATE change, and the effects, on ORIGIN OF NEW SPECIES ( DARWIN, MALTHUD, MENDEL) what happened exactly on GROUND zero, this is hardly a problem if the question is approached with good will and TRUST. Leakage from labs has occurred before, and the UN undoubtedly will ask for any available reports, in a civilised orderly fashion. UN will no doubt heart from delegates from around the world, how people are coping, how Indian workers stranded , egyptian workers and others are caught falling through the rails, and how RICH COUNTRIES LIKE AUSTRALIA,  who are responsible for such huge amounts of C EMISSIONS  ( what with the huge number if cars, planes, luxury cruising ships, cattle, mines, etc, ) WILL UNDOUBTEDLY contribute to help all these poor people,  .. ok ? Then I'm pretty sure well get the more answers than we ever asked for.. Yes no ? Everything in proper perspective please. Kindness, good will , is this not the messages expected from CHRISTIANS, MOSLEMS AND JEWS AND HINDUS ETC..love your enemy.. ? Good will peace from all those of Good will..","Thank you sir, for a most illuminating and excellent address to your people . UNFORTUNATELY AUSSIES ARE the least affected, but the most complaining least respectful of other people's feelings or situations.  Can one believe this : they support CUTTING OFF THE WHO FUNDINGS,  THEY just about accuse  SCIENTISTS of smuggling germs for germwarfare. What do you expect, dear Sir, with due respect are these guys FOR REAL. ON CBN  today there was a call for a US PRESIDENT MORE suited to Times like these, in global crisis, well you might say GOD SAVE THE QUEEN, because the way this is going, they're OVER THE TOP HERE, 1. Scientists are now CRIMINALS,  without any proof whatsoever, if parents are advised  NOT TO SEND THEIR CHILDREN TO AUSTRALIA TO STUDY, because of how THEY ARE WELL on the way to BECOMING SCAPEGOATS of INCOMPETENT Australian authorities,  who according to economists knew about ECONOMIC dangers to AUSTRALIA from what was going on in CHINA,  AS EARLY  as NOVEMBER ( ABC ) and yet allowed huge numbers of people to CELEBRATE THE YEAR OF THE BAT..we are in middle of the whole continent on fire, NERO EATING GRAPES, IN HAWAII,  whilst OUR PM, under Acopalyptic conditions- one honestly could hear GRINDING OF THE TEETH, no matter if NERO WAS GRINIDING grapes, and Mme The ministry of Defense,  who now is declaring WAR FROM THE highest of moral grounds, ( I'm only saying this for people to be able to think for themselves,  and without any legal bias, or PREJUDICE,  ) took her LEGALLY OK holiday,  well all these revellers came from all over the world, completely ignoring all those firefighters who were burned alive, those COUNTRY people already suffering because of all the earthquakes to get all that unnecessary Gas, for export, ( by the way, the coal trains NEVER even stopped then ) and all those who lost their lives, then in the midst of March, the HUGE GAY gatherings,  and now all those unexplained clusters of SAARS2 infected city dwellers, and up to now not a single survey asking any of those infected people whether or not they mingled with any of those great Aussie occasions. So it's TIME. ITS TIME to have properly qualified leaders, for serious situations like these, where they admit where they went wrong, where they show compassion and proper respect to others, no matter what their ideologies are, FOR THE SAKE OF THE PEOPLE. listening to scientists,  who as far as 2014 ( HARVARD UNI ) warned about climate change effects, to Prof Phelps, who in 2019 warned us about WHO S warnings about new disease because of CLIMATE CHANGE. The UN meeting is the best place, to look into all this: CLIMATE change, and the effects, on ORIGIN OF NEW SPECIES ( DARWIN, MALTHUD, MENDEL) what happened exactly on GROUND zero, this is hardly a problem if the question is approached with good will and TRUST. Leakage from labs has occurred before, and the UN undoubtedly will ask for any available reports, in a civilised orderly fashion. UN will no doubt heart from delegates from around the world, how people are coping, how Indian workers stranded , egyptian workers and others are caught falling through the rails, and how RICH COUNTRIES LIKE AUSTRALIA,  who are responsible for such huge amounts of C EMISSIONS  ( what with the huge number if cars, planes, luxury cruising ships, cattle, mines, etc, ) WILL UNDOUBTEDLY contribute to help all these poor people,  .. ok ? Then I'm pretty sure well get the more answers than we ever asked for.. Yes no ? Everything in proper perspective please. Kindness, good will , is this not the messages expected from CHRISTIANS, MOSLEMS AND JEWS AND HINDUS ETC..love your enemy.. ? Good will peace from all those of Good will..",negative,worry
"This Covid -19 Outbreak Pandemic ....At Present Its All About The Dormitory ; And Foreign Workers By Large :                The Faults Lies Mostly On TOP Ministers ; Cooperates Bosses ( All Want To POINT FINGERS ; TO GET A JOB DONE.....IF ONLY  , THEY ALL FOLLOW OUR ONE AND ONLY SIR : PRIME MINISTER LEE KUAN YEW ; OUR HUMBLE LEADER ( NOT BOSS ) SIngapore Will Always Be A Good Nice And Healthy Place To Live And To Stay , And Call HOME : Thank You :                      WAKE UP ALL TOP EARNERS $$$$$; Be A LEADER : NOT BOSSES .....","This Covid -19 Outbreak Pandemic ....At Present Its All About The Dormitory ; And Foreign Workers By Large :                The Faults Lies Mostly On TOP Ministers ; Cooperates Bosses ( All Want To POINT FINGERS ; TO GET A JOB DONE.....IF ONLY  , THEY ALL FOLLOW OUR ONE AND ONLY SIR : PRIME MINISTER LEE KUAN YEW ; OUR HUMBLE LEADER ( NOT BOSS ) SIngapore Will Always Be A Good Nice And Healthy Place To Live And To Stay , And Call HOME : Thank You :                      WAKE UP ALL TOP EARNERS $$$$$; Be A LEADER : NOT BOSSES .....",positive,worry
Check my Video if you want to know more About Digital Marketing and Economics Topics\nHit me up #Digitalks,Check my Video if you want to know more About Digital Marketing and Economics Topics Hit me up #Digitalks,neutral,neutral
Singapore government is the best,Singapore government is the best,positive,happiness
That microphone quality is really good! Very relaxing,That microphone quality is really good! Very relaxing,positive,happiness
Honestly.. 1m safe distancing is not enough. One droplets two droplets maybe it works.. but when we are talking about millions billions of droplets circulating since now there so many confirmed and undetected cases around.. can 1m safe distancing really works? I think scientists researchers really need to confirm this. A drop can fall on the ground and dries up in short distances. But when theres too much it works like tsunami. The whole world need to think about this.. this is not just short distance airborne anymore. We are talking about much more particles that combines and travel even further than just 1m.,Honestly.. 1m safe distancing is not enough. One droplets two droplets maybe it works.. but when we are talking about millions billions of droplets circulating since now there so many confirmed and undetected cases around.. can 1m safe distancing really works? I think scientists researchers really need to confirm this. A drop can fall on the ground and dries up in short distances. But when theres too much it works like tsunami. The whole world need to think about this.. this is not just short distance airborne anymore. We are talking about much more particles that combines and travel even further than just 1m.,neutral,worry
Sg the most bungled covid management in the world.  This record will stick a lifetime.,Sg the most bungled covid management in the world.  This record will stick a lifetime.,negative,sadness
"From 1:19:26 onwards, ""the perspective of a migrant worker, whether or not you test me, what I really want is treatment. I want to be put on the path of recovery"" sounds like somebody is trying to cover up for the reason(s) for the spike in the workers dormitory. Is she trying to say that testing is not important? If testing, identification and isolation is not done before the symptoms appear, how would we know if the carrier is asymptomatic and to how many others he would have unknowingly passed it to (if he is a carrier) before the symptoms appear?","From 1:19:26 onwards, ""the perspective of a migrant worker, whether or not you test me, what I really want is treatment. I want to be put on the path of recovery"" sounds like somebody is trying to cover up for the reason(s) for the spike in the workers dormitory. Is she trying to say that testing is not important? If testing, identification and isolation is not done before the symptoms appear, how would we know if the carrier is asymptomatic and to how many others he would have unknowingly passed it to (if he is a carrier) before the symptoms appear?",neutral,worry
#StayHomeForSG,#StayHomeForSG,neutral,neutral
worlds stuiped virus,worlds stuiped virus,negative,worry
Singapore will bounce back soon....Singapore is known to be one of the countries in the world with great leaders....,Singapore will bounce back soon....Singapore is known to be one of the countries in the world with great leaders....,positive,happiness
Amem!,Amem!,neutral,neutral
Let me out AHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!,Let me out AHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!,neutral,worry
GOD BLESS SINGAPORE 🇸🇬.,GOD BLESS SINGAPORE .,positive,happiness
"CLOSE all SHOPPING MALLs and F&B outlets!  Many countries have closed the shopping malls. \n\nWith temperature scanning and New Contact Tracing at the malls by Government, more workers are required go out to the Malls to administer this measure!!! \nThis is worst than going back to work in office, meeting countless peoples, so what is the point of WFH when you have to go back on some days to mall and come into contact with many peoples????\n\nNorthPoint is now a new cluster.  \n\nWhy Govt does not make it mandatory for eveeyone to install the Trace Together App?","CLOSE all SHOPPING MALLs and F&B outlets!  Many countries have closed the shopping malls.   With temperature scanning and New Contact Tracing at the malls by Government, more workers are required go out to the Malls to administer this measure!!!  This is worst than going back to work in office, meeting countless peoples, so what is the point of WFH when you have to go back on some days to mall and come into contact with many peoples????  NorthPoint is now a new cluster.    Why Govt does not make it mandatory for eveeyone to install the Trace Together App?",negative,worry
I waterLim suggestions for this virus. Sir I can tell you. Before Sai BaBa past away  when I saw him he told me. Sir if you believes me please don't waste time call me now I can tell you sir Sir I have the miracle power to help Singaporeans to help our people's please call my phone. So I will.,I waterLim suggestions for this virus. Sir I can tell you. Before Sai BaBa past away  when I saw him he told me. Sir if you believes me please don't waste time call me now I can tell you sir Sir I have the miracle power to help Singaporeans to help our people's please call my phone. So I will.,positive,worry
"Dying with envy here. Your prime minister appears on TV and assures that they are above the situation and you have the resources to tackle the virus. Well, you should be grateful... Here in our country, it is what it is that you can surmise from the news.","Dying with envy here. Your prime minister appears on TV and assures that they are above the situation and you have the resources to tackle the virus. Well, you should be grateful... Here in our country, it is what it is that you can surmise from the news.",positive,worry
COVID-19 Most Likely A Delay Tactic By The 322 Pedophile Cabal To Delay Trump's Crime Investigation & Arrest Of This Worldwide Deep State Occult New World Order Organization...,COVID-19 Most Likely A Delay Tactic By The 322 Pedophile Cabal To Delay Trump's Crime Investigation & Arrest Of This Worldwide Deep State Occult New World Order Organization...,negative,worry
"I really admire your prime minister. He is a model for the ASEAN leaders... Very competent, dedicated and hard- working. He is obviously well- educated and intelligent. I don't want to compare but others are just pale in comparison to PM Lee. His efforts in leading Singapore amid the pandemic is laudable. Congratulations! You have a great leader in your midst.","I really admire your prime minister. He is a model for the ASEAN leaders... Very competent, dedicated and hard- working. He is obviously well- educated and intelligent. I don't want to compare but others are just pale in comparison to PM Lee. His efforts in leading Singapore amid the pandemic is laudable. Congratulations! You have a great leader in your midst.",positive,love
Let's work together to stop covid-19,Let's work together to stop covid-19,neutral,neutral
"FATHER GREAT, SON FAILED TO LIVE UP THE LEGACY. NOTHING IS NEW (SIN)... HISTORY REPEATS ITSELF AGAIN AND AGAIN AND AGAIN. DRINK N D PEEE TO STAY DEAD WAHAHAAHHAA","FATHER GREAT, SON FAILED TO LIVE UP THE LEGACY. NOTHING IS NEW (SIN)... HISTORY REPEATS ITSELF AGAIN AND AGAIN AND AGAIN. DRINK N D PEEE TO STAY DEAD WAHAHAAHHAA",neutral,sadness
"Ok great stop the spread. Good thou, some of you us live from hand to mouth. Daily paid. Hand to mouth. Release funds for help to many others till 01 Jun 2020. Help people.","Ok great stop the spread. Good thou, some of you us live from hand to mouth. Daily paid. Hand to mouth. Release funds for help to many others till 01 Jun 2020. Help people.",positive,happiness
Mr Lee please sacked all your useless lady and male ministers and select a better team of able ministers. Thank you,Mr Lee please sacked all your useless lady and male ministers and select a better team of able ministers. Thank you,positive,relief
Singapore law enforcers are a joke. I sent them so many evidence of the infringements of circuit breaker laws and even did the heavy lifting for them to make their job easier but I guess they are all too groggy from the MCD's to actually do what they were paid to do.,Singapore law enforcers are a joke. I sent them so many evidence of the infringements of circuit breaker laws and even did the heavy lifting for them to make their job easier but I guess they are all too groggy from the MCD's to actually do what they were paid to do.,negative,worry
STOP CALLING IT CIRCUIT BREAKER... A COUNTRY IS NOT A STOCK MARKET... FUHK'N  WANNA BE WHITE IDIOTS.   ITS A LOCKDOWN OR QUARINTINE...  DAMN IT,STOP CALLING IT CIRCUIT BREAKER... A COUNTRY IS NOT A STOCK MARKET... FUHK'N  WANNA BE WHITE IDIOTS.   ITS A LOCKDOWN OR QUARINTINE...  DAMN IT,negative,hate
"Get rid of wild cats, dogs & birds","Get rid of wild cats, dogs & birds",neutral,neutral
hello\ni hope you guys are safe,hello i hope you guys are safe,positive,neutral
Do the stank you leg,Do the stank you leg,neutral,neutral
加油 新加坡！, ,neutral,neutral
https://youtu.be/EYxfTNEB81w\nlook this,https://youtu.be/EYxfTNEB81w look this,neutral,neutral
Ahhh my PSLE is this year and now this... GOD IM GONNA FAIL 😭 😭,Ahhh my PSLE is this year and now this... GOD IM GONNA FAIL  ,negative,sadness
"93 days from 1 case to over 12,000 cases and no sign of stopping.  What the heck is the Task Force and Govt doing all these days?????  Singapore will overtake Jp in 1 to 2 days and become third in Asia soon (after China n India).  We r back on top 30 chart Worldwide !!!!","93 days from 1 case to over 12,000 cases and no sign of stopping.  What the heck is the Task Force and Govt doing all these days?????  Singapore will overtake Jp in 1 to 2 days and become third in Asia soon (after China n India).  We r back on top 30 chart Worldwide !!!!",negative,worry
PM Lee speaks bahasa Malay fluently.,PM Lee speaks bahasa Malay fluently.,neutral,neutral
6月から学校始めるのか否か,6,neutral,neutral
蓝蓝stay at home,stay at home,neutral,neutral
33:15 Nani?!,33:15 Nani?!,neutral,neutral
24:09,24:09,neutral,neutral
"Will the FW appreciated our help? May be now,, but once they are back home, everything uncertain.","Will the FW appreciated our help? May be now,, but once they are back home, everything uncertain.",neutral,worry
"Right on PM Lee.  Stay Safe. Want to be president of America?  Wait, you can't, because you are not America born.  Doesn't hurt in dreaming.","Right on PM Lee.  Stay Safe. Want to be president of America?  Wait, you can't, because you are not America born.  Doesn't hurt in dreaming.",positive,neutral
bruh why u do us like that,bruh why u do us like that,neutral,neutral
https://youtu.be/mRBd9pDaMvg,https://youtu.be/mRBd9pDaMvg,neutral,neutral
"Aiyo,pray that the everyone be kept safe and protected. Btw,here's an interesting video related to COVID-19: https://www.youtube.com/watch?v=aHFs9-nq-_k&t=56s","Aiyo,pray that the everyone be kept safe and protected. Btw,here's an interesting video related to COVID-19: https://www.youtube.com/watch?v=aHFs9-nq-_k&t=56s",positive,neutral
Thanks a lot po.Stay at Home..happilly together,Thanks a lot po.Stay at Home..happilly together,positive,happiness
I want that magic drink! A sip can let you talk in a different language!,I want that magic drink! A sip can let you talk in a different language!,neutral,happiness
"Singapore  will  win,\nGood  luck  friends.\n \n-a S.Korean","Singapore  will  win, Good  luck  friends.   -a S.Korean",positive,happiness
"Salam , \nMe now thinking of putting another 20Amp circuit-breaker on my brain. So in total I have like 3 altogether. 😁😅.\nCovider-covider-covider-covider","Salam ,  Me now thinking of putting another 20Amp circuit-breaker on my brain. So in total I have like 3 altogether. . Covider-covider-covider-covider",neutral,neutral
Undoubtedly My favorite PM 👍👍💯💯,Undoubtedly My favorite PM ,positive,love
Stay home for Sg.Together we can fight this.,Stay home for Sg.Together we can fight this.,neutral,neutral
Sg united.Sub to the sporty twinz on youtube,Sg united.Sub to the sporty twinz on youtube,neutral,neutral
Who is this guy and what have you done to Mr pink shirt,Who is this guy and what have you done to Mr pink shirt,neutral,worry
"Instead of coronavirus, unemployment will destroy us.","Instead of coronavirus, unemployment will destroy us.",negative,worry
"Are you afraid of death? Not sure what I should do? Jesus is the solver. Jesus is the savior. Jesus is the only light in the chaotic world. Satan deceives you. What has Satan given you? It's all about cheating, lying, killing, stealing, and perishing. Come to Jesus. Rest and receive eternal life. In front of Jesus' name, all powers and demons kneel down. I am the way, the truth, and the life. Only  comes to the Father except through me. John 14: 6\nYou who want to believe in Jesus.If you who have COVID19, come to Jesus. Be healed in the name of Jesus, If you plagued by ghosts. If you wanna believe Jesus, Please say this words. ""Jesus, I believe in Jesus. Jesus is the Son of God and my savior. you poured water and blood on the cross for my sins.And Jesus were resurrection in three days and I believe Jesus come back when in last world time.""","Are you afraid of death? Not sure what I should do? Jesus is the solver. Jesus is the savior. Jesus is the only light in the chaotic world. Satan deceives you. What has Satan given you? It's all about cheating, lying, killing, stealing, and perishing. Come to Jesus. Rest and receive eternal life. In front of Jesus' name, all powers and demons kneel down. I am the way, the truth, and the life. Only  comes to the Father except through me. John 14: 6 You who want to believe in Jesus.If you who have COVID19, come to Jesus. Be healed in the name of Jesus, If you plagued by ghosts. If you wanna believe Jesus, Please say this words. ""Jesus, I believe in Jesus. Jesus is the Son of God and my savior. you poured water and blood on the cross for my sins.And Jesus were resurrection in three days and I believe Jesus come back when in last world time.""",neutral,worry
"I'm not even Muslim but if the virus problem goes away just in time for Hari Raya, I'll hoorah like it's my damn holiday lmao","I'm not even Muslim but if the virus problem goes away just in time for Hari Raya, I'll hoorah like it's my damn holiday lmao",positive,happiness
Will we get another time for $$$ since going to extend one more month???,Will we get another time for $$$ since going to extend one more month???,neutral,worry
blue megastar,blue megastar,neutral,neutral
DORSCON BLUE - Circuit Breaker,DORSCON BLUE - Circuit Breaker,neutral,neutral
24:10 Sips holy water,24:10 Sips holy water,neutral,neutral
"No hater please as I’m saying in a logical point of view; you guys can disagree on what I think. We live in a free thinking world so please be use a tactful tone on your reply and no yelling with or without caps. Greatly appreciated!\n\nCovid-19 is said to be a liquid borne illness that spread through contact of human liquid excretion like mucous excretion from nose and mouth, coughing and sneezing. Judging by this, the odds of the healthier ones outside getting the virus are rather low. Unless he (she) went to visit a family with Covid-19 or contacted patients spreading around in the hospitals. The rise in the number cases should be within hospital setting and not from the people outside. Spreading from contacted patient to the healthier ones within hospital that cause the rise in the number of cases (just my theory). Wearing a useless surgical mask whenever we go out to do essential things will not really help in any matter; the only thing we get protected from is our Singapore $600 is not being fined back from the government and our oxygen getting into our lungs. I seriously don’t know about you guys but the free useless cotton mask is not practical and I hardly can breathe through it. Plus, cotton is actually the worst material and child labor is involved to harvest. Wear or don’t wear, it is pointless. \n\nI have seen the statistic of the current cases in Singapore Ministry of Health website, I agree that it is about 10,000 cases now but the fatality rate is eleven. Compare to other countries that have hundreds to thousands of death rates, this is considered rather low. I do understand that it is better to be safe than sorry. Once you come to think of it; everyone will have a stay in hospital when symptoms are shown.\n\nYoungsters and adults are crying out for some fresh air as it is really boring to stay home thirty days straight. Right now, second extension will kill all of us. It is like caging in for the crime we didn’t commit. For once, students don’t mind going to school not really because of education but they just want to get out for fresh air. I’m an introvert too and I do like to stay at home but I really want to get a job just to earn money and get some fresh air too. Staying at home is nice and all as no money is being loss unless online shopping.\n\nPrivate business owners in retail industry are facing the worst financial meltdown. In the more holistic approach to this situation, they have to retrench staff to support themselves. Thinking about others is actually out of the question. They have to pay rentals to pay for the two months, bills both at home and shop to pay and mouths to feed. Once they retrench staff, people will left unemployed with their little final salary that they last withdrawn from the company. After situation been normalized, most places most likely dare not to hire much because they are thinking about recovering the money that was loss during the two months hiatus. People will suffer as well as they can’t support basic needs for both family and oneself. Economic will not able to recline back to the ideal state for quite awhile. \n\nSafety precautions still have to take I agree. Healthier ones that are outside of the hospital zone should avoid hospital visitation at all cost for time being. Shower regularly once or twice per day. Normal without anti-bacterial cleanser is good enough. The moment you step back home for a shower should make you feel clean enough and dare not to go out anymore. Supplements like multi-vitamins and zinc should consider taking sparingly to increase your immune health. Eat more healthier and food contains higher in vitamin C and zinc content. Avoid people with similar symptoms of Covid-19. Do some home exercise to strengthen up yourself. That way you can be very sure that you are very safe from the disease. It is said that prevention is better than cure is true. Not only these recommendations I suggest will not only help you to stay healthy; it also will save you from paying hospital bill that the disease send you. \n\nIn retrospect, the media should make the situation flavourful and caused panic to everyone. Second extension is good but not good for the family’s income. They have children to feed and bills to pay. After this thing over, he will blame us for being lazy for pulling down the economics of Singapore. Either way he is making us the villain while he gains all the of being a superhero. Can we not perfect the 3 Ks of Singapore please? This is the only culture that I’m not quite proud of showing to the visitors when we resume normally.\n\nEnough said, may you guys be safe during this time of pandemic.","No hater please as Im saying in a logical point of view; you guys can disagree on what I think. We live in a free thinking world so please be use a tactful tone on your reply and no yelling with or without caps. Greatly appreciated!  Covid-19 is said to be a liquid borne illness that spread through contact of human liquid excretion like mucous excretion from nose and mouth, coughing and sneezing. Judging by this, the odds of the healthier ones outside getting the virus are rather low. Unless he (she) went to visit a family with Covid-19 or contacted patients spreading around in the hospitals. The rise in the number cases should be within hospital setting and not from the people outside. Spreading from contacted patient to the healthier ones within hospital that cause the rise in the number of cases (just my theory). Wearing a useless surgical mask whenever we go out to do essential things will not really help in any matter; the only thing we get protected from is our Singapore $600 is not being fined back from the government and our oxygen getting into our lungs. I seriously dont know about you guys but the free useless cotton mask is not practical and I hardly can breathe through it. Plus, cotton is actually the worst material and child labor is involved to harvest. Wear or dont wear, it is pointless.   I have seen the statistic of the current cases in Singapore Ministry of Health website, I agree that it is about 10,000 cases now but the fatality rate is eleven. Compare to other countries that have hundreds to thousands of death rates, this is considered rather low. I do understand that it is better to be safe than sorry. Once you come to think of it; everyone will have a stay in hospital when symptoms are shown.  Youngsters and adults are crying out for some fresh air as it is really boring to stay home thirty days straight. Right now, second extension will kill all of us. It is like caging in for the crime we didnt commit. For once, students dont mind going to school not really because of education but they just want to get out for fresh air. Im an introvert too and I do like to stay at home but I really want to get a job just to earn money and get some fresh air too. Staying at home is nice and all as no money is being loss unless online shopping.  Private business owners in retail industry are facing the worst financial meltdown. In the more holistic approach to this situation, they have to retrench staff to support themselves. Thinking about others is actually out of the question. They have to pay rentals to pay for the two months, bills both at home and shop to pay and mouths to feed. Once they retrench staff, people will left unemployed with their little final salary that they last withdrawn from the company. After situation been normalized, most places most likely dare not to hire much because they are thinking about recovering the money that was loss during the two months hiatus. People will suffer as well as they cant support basic needs for both family and oneself. Economic will not able to recline back to the ideal state for quite awhile.   Safety precautions still have to take I agree. Healthier ones that are outside of the hospital zone should avoid hospital visitation at all cost for time being. Shower regularly once or twice per day. Normal without anti-bacterial cleanser is good enough. The moment you step back home for a shower should make you feel clean enough and dare not to go out anymore. Supplements like multi-vitamins and zinc should consider taking sparingly to increase your immune health. Eat more healthier and food contains higher in vitamin C and zinc content. Avoid people with similar symptoms of Covid-19. Do some home exercise to strengthen up yourself. That way you can be very sure that you are very safe from the disease. It is said that prevention is better than cure is true. Not only these recommendations I suggest will not only help you to stay healthy; it also will save you from paying hospital bill that the disease send you.   In retrospect, the media should make the situation flavourful and caused panic to everyone. Second extension is good but not good for the familys income. They have children to feed and bills to pay. After this thing over, he will blame us for being lazy for pulling down the economics of Singapore. Either way he is making us the villain while he gains all the of being a superhero. Can we not perfect the 3 Ks of Singapore please? This is the only culture that Im not quite proud of showing to the visitors when we resume normally.  Enough said, may you guys be safe during this time of pandemic.",negative,worry
stay safe home safe.i love singapore and pm lee,stay safe home safe.i love singapore and pm lee,positive,love
I request the MOH to kindly look into the case properly because there are some patients who are really in need of intensive care. My dad has been waiting for ambulance since two days but since the ambulance never arrived and he has really given up. He has started showing symptoms like shortness of breaths but nothing has done so far. I request the government ministry of health and ministry of man power to take my dad to hospital as soon as possible. We are really helpless during the period of this lockdown all we can do is look up to the government and pray beg for proper care🙏🏻🙏🏻😭😭,I request the MOH to kindly look into the case properly because there are some patients who are really in need of intensive care. My dad has been waiting for ambulance since two days but since the ambulance never arrived and he has really given up. He has started showing symptoms like shortness of breaths but nothing has done so far. I request the government ministry of health and ministry of man power to take my dad to hospital as soon as possible. We are really helpless during the period of this lockdown all we can do is look up to the government and pray beg for proper care,negative,worry
Er heeehee lolz 😂,Er heeehee lolz ,neutral,neutral
sir  pls all company close Panuga (must close)CNC COMPANY,sir  pls all company close Panuga (must close)CNC COMPANY,neutral,neutral
"Shows the laxness and incompetence of the G. Frankly, if the first few cases from Mustafa were traced and picked up sooner, this sudden surge shouldn't have happened. G you owe us all an apology for leaving this until so late! Give me back my 2 months for Christ's Sake!","Shows the laxness and incompetence of the G. Frankly, if the first few cases from Mustafa were traced and picked up sooner, this sudden surge shouldn't have happened. G you owe us all an apology for leaving this until so late! Give me back my 2 months for Christ's Sake!",neutral,sadness
It's the damn dormitories! Why must we locals extend till June? Aiyoo..can the authorities just confine them?,It's the damn dormitories! Why must we locals extend till June? Aiyoo..can the authorities just confine them?,negative,hate
May I know when wiil school reopen I am. Not sure pls. Reply,May I know when wiil school reopen I am. Not sure pls. Reply,neutral,neutral
