text,clean_text,sentiment,emotion
Proud Singaporean hoping to do justice to the efforts of our Pioneer and Merdeka generations 🇸🇬,Proud Singaporean hoping to do justice to the efforts of our Pioneer and Merdeka generations ,positive,happiness
"how to not fear zzzzz, 8000 over companies close down. If more help was provided initially it would have been better not afterwards.","how to not fear zzzzz, 8000 over companies close down. If more help was provided initially it would have been better not afterwards.",neutral,neutral
"""Do not FEAR""","""Do not FEAR""",positive,neutral
'third' holds thumb up,'third' holds thumb up,neutral,neutral
Disgusting pre-election electioneering,Disgusting pre-election electioneering,negative,hate
Thank you ... Government Singapore for the free mask 😷😷 ❤️,Thank you ... Government Singapore for the free mask  ,positive,neutral
zzzzzzz............i listen the same speech all the time.. ownself pleased ownself speech,zzzzzzz............i listen the same speech all the time.. ownself pleased ownself speech,positive,happiness
Thank you Singapore!  It is proud to be a Singaporean,Thank you Singapore!  It is proud to be a Singaporean,positive,happiness
Hope everything will be good.,Hope everything will be good.,positive,worry
Hey I'm from another country but stayed in Singapore,Hey I'm from another country but stayed in Singapore,neutral,neutral
I only fear the current platoon of goons leading this country to it's death.,I only fear the current platoon of goons leading this country to it's death.,negative,worry
don worry we are with the gov,don worry we are with the gov,positive,worry
Shameless PM. Shameless party. Started campaigning for their elections atop the dead bodies of those who died. Dun use the pandemic to gather votes. Start solving the problems of the country. Do yur job for once! Yur $600 or $300 dollar payouts mean nothing in light of the job losses and loss of income! Govt intervention my ass,Shameless PM. Shameless party. Started campaigning for their elections atop the dead bodies of those who died. Dun use the pandemic to gather votes. Start solving the problems of the country. Do yur job for once! Yur $600 or $300 dollar payouts mean nothing in light of the job losses and loss of income! Govt intervention my ass,negative,sadness
"Simi talents, just look at SCB.. so many incompetent ceca and ang mohs at the mid/top mgmt.","Simi talents, just look at SCB.. so many incompetent ceca and ang mohs at the mid/top mgmt.",neutral,neutral
Most important toking like that really very well Sir,Most important toking like that really very well Sir,positive,happiness
"Instead of completely dependent on foreign imports, why not help built our some food supply through better land use","Instead of completely dependent on foreign imports, why not help built our some food supply through better land use",neutral,worry
"the SG govt does not owe you any job. their job is to make sure proper regulation, facilitation of job creation. in many cases in spite of numerous blocks, people who become prosperous are those who thrive thru difficulties.","the SG govt does not owe you any job. their job is to make sure proper regulation, facilitation of job creation. in many cases in spite of numerous blocks, people who become prosperous are those who thrive thru difficulties.",negative,worry
We should get 1.37 million households to be tested. just 1 family member per household need to be tested. this can be done in phases and by district.,We should get 1.37 million households to be tested. just 1 family member per household need to be tested. this can be done in phases and by district.,neutral,worry
HYDROXYCHLOROQUINE?  There are many more positive reports on HCQ.  MOH not seriously looking into it yet?,HYDROXYCHLOROQUINE?  There are many more positive reports on HCQ.  MOH not seriously looking into it yet?,positive,worry
"Why aren't our Prime Minister and the task force Ministers NOT WEARING A MASK? You tell us that it is compulsory to wear a mask when we leave our homes but you don't take the lead to set an example. Why is that so? Is it because you know that wearing a mask puts you at risk from not being able to breathe in oxygen and that it further puts your body into stress mode, causing  health issues? So, you'd rather that Singaporeans fall sick and suffer the serious side effects from wearing a mask that blocks the breathing airway? What do you know that we Singaporeans do not know? I wish the Prime Minister and his task force would be more honest and upfront to Singaporeans and be genuinely concerned when you declare that we are United as one people and not have two sets of rules. Please don't take advantage of our ignorance because we generally are an obedient lot of people who place their faith in their government of this day!","Why aren't our Prime Minister and the task force Ministers NOT WEARING A MASK? You tell us that it is compulsory to wear a mask when we leave our homes but you don't take the lead to set an example. Why is that so? Is it because you know that wearing a mask puts you at risk from not being able to breathe in oxygen and that it further puts your body into stress mode, causing  health issues? So, you'd rather that Singaporeans fall sick and suffer the serious side effects from wearing a mask that blocks the breathing airway? What do you know that we Singaporeans do not know? I wish the Prime Minister and his task force would be more honest and upfront to Singaporeans and be genuinely concerned when you declare that we are United as one people and not have two sets of rules. Please don't take advantage of our ignorance because we generally are an obedient lot of people who place their faith in their government of this day!",negative,worry
"#SGMinoritiesMatter - it does matter to Singapore\n\nMany people here dont want PAP. \nBut you keyboard warriors (mostly Chinese Singaporeans) are all wrong. Singapore will vote PAP.\nThe irony is that you are not liking the very same system that has protected you and made you flourish all this while.\nThe Opposition is not upto the mark. Wish they were more productive and had better ideas. \n\nWhoever governs Singapore must have an Iron fist. \nIf People fail and we become Xenophobes and Haters, Companies will leave to better places. \nAnd mind you, competition is popping up.  We have no Oil or Resources. Only People. \nSingapore has become very Chinese to the extend companies are replicating that model.\nHighly intolerant of our minorities.\n\n\nSingapore has other races too - Eurasian, Indian, Malay, Arabs, Jewish, Bugis, Ceylonese \nand several other Races , and Orang Asli the original Citizens of Singapore, the real inhabitants. \n\nEveryone else claiming to be So called True Blue Singaporeans are Migrants. Ours is a migrant country. \nThe Chinese, Indian, Malays and everyone else came here from far aways lands. \n\nThere is nothing called True Blue.  If I am 7th Generation Singaporean and you are 4 th Generation Singaporean, Does\nthat mean I am more blue than you and should get more privileges than you ??  No isn’t it?  \n\nWe are NOT ready for a non-Chinese PM?\nEven after 50 years of self governing Nationhood we aren’t ready? What multi-culturalism is this?\n#SGMinoritiesMatter","#SGMinoritiesMatter - it does matter to Singapore  Many people here dont want PAP. But you keyboard warriors (mostly Chinese Singaporeans) are all wrong. Singapore will vote PAP. The irony is that you are not liking the very same system that has protected you and made you flourish all this while. The Opposition is not upto the mark. Wish they were more productive and had better ideas.  Whoever governs Singapore must have an Iron fist. If People fail and we become Xenophobes and Haters, Companies will leave to better places. And mind you, competition is popping up. We have no Oil or Resources. Only People. Singapore has become very Chinese to the extend companies are replicating that model. Highly intolerant of our minorities.   Singapore has other races too - Eurasian, Indian, Malay, Arabs, Jewish, Bugis, Ceylonese and several other Races , and Orang Asli the original Citizens of Singapore, the real inhabitants.  Everyone else claiming to be So called True Blue Singaporeans are Migrants. Ours is a migrant country. The Chinese, Indian, Malays and everyone else came here from far aways lands.  There is nothing called True Blue. If I am 7th Generation Singaporean and you are 4 th Generation Singaporean, Does that mean I am more blue than you and should get more privileges than you ?? No isnt it?   We are NOT ready for a non-Chinese PM? Even after 50 years of self governing Nationhood we arent ready? What multi-culturalism is this? #SGMinoritiesMatter",negative,sadness
This man is a criminal and he belongs in prison.,This man is a criminal and he belongs in prison.,negative,worry
Thank you..... government Singapore for the free mask.....,Thank you..... government Singapore for the free mask.....,positive,relief
"Through news, i knew Singapore have the most case of infected covid 19. Mostly from foreign dormitory worker. \nBut what so impressive, their recovery rate on patient is very high. Many are cure within short period. Thats is awesone. Well done and very good singapore.","Through news, i knew Singapore have the most case of infected covid 19. Mostly from foreign dormitory worker.  But what so impressive, their recovery rate on patient is very high. Many are cure within short period. Thats is awesone. Well done and very good singapore.",positive,worry
I am Thank you,I am Thank you,positive,happiness
"Singapore is supposed to learn from our mistakes \nwe are wrong about cov  please research ""the truth about vaccines""\na nine part series, ty and his lovely wife shatter the MSM narrative into pieces","Singapore is supposed to learn from our mistakes  we are wrong about cov  please research ""the truth about vaccines"" a nine part series, ty and his lovely wife shatter the MSM narrative into pieces",neutral,worry
"World 100 Most Influential People 2019 Ranking.\n\nThey dropped PM Lee out of their ranking showing he isn't influential anymore.\n\nIn simple term, implying that no one is listening to PM Lee anymore.","World 100 Most Influential People 2019 Ranking.  They dropped PM Lee out of their ranking showing he isn't influential anymore.  In simple term, implying that no one is listening to PM Lee anymore.",neutral,worry
I remember how this dictator was saying singapore isnt engaging in domestic isolation like iran italy and korea.\nAs if singapore is special.\nAre the singaporeans senile or are they the same as ccp chinese who dont mind dictatorship.,I remember how this dictator was saying singapore isnt engaging in domestic isolation like iran italy and korea. As if singapore is special. Are the singaporeans senile or are they the same as ccp chinese who dont mind dictatorship.,neutral,worry
nice speech..,nice speech..,positive,happiness
My asian brothers always rape the goose!😀😀😀😀😀😀😀😀,My asian brothers always rape the goose!,negative,sadness
"Thank You Your Excellency,\nMr Prime Minister Mr Lee,\n\nWe greatly appreciate your encouraging & enlightening leadership.\n\nMy greatest admiration for your strategic foresight and  meticulous planning in governing our country.\nI know it takes tremendous and tireless effort and dedication , in helping us all in Singapore.\n\nTruly grateful and very appreciative of all our government and supporting staff team and volunteers.\n\nMajullah Singapura!\n\nThank you.Mdm Sim","Thank You Your Excellency, Mr Prime Minister Mr Lee,  We greatly appreciate your encouraging & enlightening leadership.  My greatest admiration for your strategic foresight and  meticulous planning in governing our country. I know it takes tremendous and tireless effort and dedication , in helping us all in Singapore.  Truly grateful and very appreciative of all our government and supporting staff team and volunteers.  Majullah Singapura!  Thank you.Mdm Sim",positive,happiness
"Singapore 🇸🇬 are great people, With the sprite of unity from generation of past ! That  is Singapore ideologically of loved.","Singapore  are great people, With the sprite of unity from generation of past ! That  is Singapore ideologically of loved.",positive,love
Errrrr.....,Errrrr.....,neutral,neutral
Penipu...,Penipu...,neutral,neutral
"Not every ComCare clients got referral, got help. Government officials racism helped their own race. Not others.","Not every ComCare clients got referral, got help. Government officials racism helped their own race. Not others.",negative,worry
"Pathetic Singaporeans oldfolks must work to meet their demands. They going to die start work this month. Their lucky children can get back their pioneers CPF savings. Else will rob by Conspiracy Government for future accidents. CPF is Slavery systems to save Government costs and earn profits! No Funds, no Grants for ComCare clients, all Genocide by Government.","Pathetic Singaporeans oldfolks must work to meet their demands. They going to die start work this month. Their lucky children can get back their pioneers CPF savings. Else will rob by Conspiracy Government for future accidents. CPF is Slavery systems to save Government costs and earn profits! No Funds, no Grants for ComCare clients, all Genocide by Government.",negative,sadness
It’s always a one-man-show,Its always a one-man-show,neutral,neutral
"Hi Mr Lee, thanks for the speech, yes you addressed most of our concerns sir, but can i ask you how about those who lost their jobs? i was one of them who lost my sales job, but i tried asking and to apply for the covid19 support grant... but they keep asking  me for actual documents which i tried but cannot procure sir.. so they are not giving me that cash which i applied for... why?  Only chinese can get? indian cannot get sir? im asking you... is it fair? lol sir you dont know whats happening in ground level sir.. im local indian and yah its very difficult  for me to get the grant... they only keep asking for prove from me... but my chinese and malay friends got the grant...... i indian cannot get sir, so how? can you look into this sir?","Hi Mr Lee, thanks for the speech, yes you addressed most of our concerns sir, but can i ask you how about those who lost their jobs? i was one of them who lost my sales job, but i tried asking and to apply for the covid19 support grant... but they keep asking  me for actual documents which i tried but cannot procure sir.. so they are not giving me that cash which i applied for... why?  Only chinese can get? indian cannot get sir? im asking you... is it fair? lol sir you dont know whats happening in ground level sir.. im local indian and yah its very difficult  for me to get the grant... they only keep asking for prove from me... but my chinese and malay friends got the grant...... i indian cannot get sir, so how? can you look into this sir?",neutral,worry
Government CURRUPT FOR A NWO. COVID-19 IS FAKE!,Government CURRUPT FOR A NWO. COVID-19 IS FAKE!,negative,hate
"Most people have negative views from these speeches and I empathise, our PM has 0 charisma and ability to Unite our people. But please respect the work that they have done, it is incredible.  Just look at the rest of Europe + UK, North America, their shitty pay, insane tax rate, hell hole healthcare, insane cost of living, lack of jobs, homelessness, broken infrastructures and debt . Then take a pause and look at Singapore, although not perfect or even great, it’s still better than living there.","Most people have negative views from these speeches and I empathise, our PM has 0 charisma and ability to Unite our people. But please respect the work that they have done, it is incredible.  Just look at the rest of Europe + UK, North America, their shitty pay, insane tax rate, hell hole healthcare, insane cost of living, lack of jobs, homelessness, broken infrastructures and debt . Then take a pause and look at Singapore, although not perfect or even great, its still better than living there.",neutral,sadness
"Singaporeans don't know how lucky they are. I wish we had this in America instead of the S***show we see here on a daily basis. America has relinquished it's title as ""greatest country in the world"". I know there are many other counties that deserve this title more than the USA and maybe Singapore is at the top of the list? Who do you think deserves the title of greatest country in the world?","Singaporeans don't know how lucky they are. I wish we had this in America instead of the S***show we see here on a daily basis. America has relinquished it's title as ""greatest country in the world"". I know there are many other counties that deserve this title more than the USA and maybe Singapore is at the top of the list? Who do you think deserves the title of greatest country in the world?",positive,sadness
By 15 jun,By 15 jun,neutral,neutral
尊敬的总理先生，请政府拿出有效措施来控制疫情的蔓延。可怜的劳工已经被被禁足2个月多月了，没有钱，没有自由。,2,neutral,neutral
I Love u sir,I Love u sir,positive,love
"Very eloquent, well articulated, meticulous choice of words.","Very eloquent, well articulated, meticulous choice of words.",positive,neutral
great ! we are winning this pandemic war,great ! we are winning this pandemic war,positive,happiness
U hv spoken at least 4 times.  Each time it get worst.  This virus exposes yr incompetency !!!,U hv spoken at least 4 times.  Each time it get worst.  This virus exposes yr incompetency !!!,negative,worry
"So the best  vacine from now till real vacine coming out is mask,  hand washing, staying away from crowded people.","So the best  vacine from now till real vacine coming out is mask,  hand washing, staying away from crowded people.",positive,neutral
"How not to fear? Bills piling up, jobs opportunities gets lesser, housing loans, speed bills, allowances for families n kids school fees, is our monthly bills n debts to pay, how n what's the game plan, for our citizens manage to pay? It's fearful, but do we have a choice? No, we gotta keep ourselves silent, but to move forward, fighting this through together, but the fear is there, what will happen we can't afford to pay? Let's us pray hard, w no further tension, with more compassion heart, graciousness to pull us through! Thank you sir!","How not to fear? Bills piling up, jobs opportunities gets lesser, housing loans, speed bills, allowances for families n kids school fees, is our monthly bills n debts to pay, how n what's the game plan, for our citizens manage to pay? It's fearful, but do we have a choice? No, we gotta keep ourselves silent, but to move forward, fighting this through together, but the fear is there, what will happen we can't afford to pay? Let's us pray hard, w no further tension, with more compassion heart, graciousness to pull us through! Thank you sir!",positive,worry
Propaganda ELECTION IS COMING. All the sweet talk yet no action is taken. Wake up SG,Propaganda ELECTION IS COMING. All the sweet talk yet no action is taken. Wake up SG,positive,neutral
Why? I just came back from Hong Kong to Singapore and I feel way safer over there. They have not had a single day of lockdown and have seen very few cases at all.,Why? I just came back from Hong Kong to Singapore and I feel way safer over there. They have not had a single day of lockdown and have seen very few cases at all.,negative,worry
Miss mr lee kuan yew.if he still alive it will sharp idea...,Miss mr lee kuan yew.if he still alive it will sharp idea...,negative,worry
Summary: Singapore is successful in containing covid19. Sin. Will  have no tourists coming for few years. Due to strict quarantine .life Will be much more difficult in coming years. Basically this is same for all over the world. Each country Will become closed country. Be ready for very hard life.,Summary: Singapore is successful in containing covid19. Sin. Will  have no tourists coming for few years. Due to strict quarantine .life Will be much more difficult in coming years. Basically this is same for all over the world. Each country Will become closed country. Be ready for very hard life.,neutral,worry
People cannot change to be good and have great kindness or practice great kindness will be infected and die with the new strains after July...,People cannot change to be good and have great kindness or practice great kindness will be infected and die with the new strains after July...,neutral,worry
"PM you do not know. Not you keep fatality low. People still have blessing so they live. You think so under control. See August with your eyes...lockdown or no lockdown...make no difference..there is no vacvines....all about money....not crisis, it is punisment for selfishness, greed and mean attitude....alll your talks are your dreams...","PM you do not know. Not you keep fatality low. People still have blessing so they live. You think so under control. See August with your eyes...lockdown or no lockdown...make no difference..there is no vacvines....all about money....not crisis, it is punisment for selfishness, greed and mean attitude....alll your talks are your dreams...",negative,sadness
Singapore is deploying two 5g networks. Covid-1984 numbers will go up.,Singapore is deploying two 5g networks. Covid-1984 numbers will go up.,neutral,neutral
YOU SEE HE SAID WE WILL NOT BE RETURNING TO WHAT IT WAS.....HE ALREADY KNOWS,YOU SEE HE SAID WE WILL NOT BE RETURNING TO WHAT IT WAS.....HE ALREADY KNOWS,neutral,neutral
ITS A FRAUD---EVERY DEATH IS LABELED COVID-AVERAGE AGE IN MOST COUNTRIES 85. SINGAPORE WILL BE FINISHED IF THEY CONTINUE DOWN THE WHO ROAD. THEY ARE DICTATING WHAT EVERY COUNTRY MUST DO FOR THEIR PUPPET MASTERS BEHIND THE CURTAIN.,ITS A FRAUD---EVERY DEATH IS LABELED COVID-AVERAGE AGE IN MOST COUNTRIES 85. SINGAPORE WILL BE FINISHED IF THEY CONTINUE DOWN THE WHO ROAD. THEY ARE DICTATING WHAT EVERY COUNTRY MUST DO FOR THEIR PUPPET MASTERS BEHIND THE CURTAIN.,negative,worry
"Its a BIG CON JOB OF CONTROL OF THE MASSES-THE ""VIRUS"" is AN EXAGERATED HOAX...THEY WANT THE NEW SYSTEM BOUGHT IN AND THEY HAD TO SCARE EVERYONE TO DEATH-FAKE LINES AND MASS GRAVES-THE MEDIA GUILTY. HE IS A LIAR..OK LEE YOU TAKE THE VACCINE OR 5 OR 10 if the VACCINES are SAFE....THEY WANT TO SHUT DOWN THE BUSINESSES THEY DONT WANT...","Its a BIG CON JOB OF CONTROL OF THE MASSES-THE ""VIRUS"" is AN EXAGERATED HOAX...THEY WANT THE NEW SYSTEM BOUGHT IN AND THEY HAD TO SCARE EVERYONE TO DEATH-FAKE LINES AND MASS GRAVES-THE MEDIA GUILTY. HE IS A LIAR..OK LEE YOU TAKE THE VACCINE OR 5 OR 10 if the VACCINES are SAFE....THEY WANT TO SHUT DOWN THE BUSINESSES THEY DONT WANT...",negative,worry
"NTUC online / digital Platform - need minimum order to get free delivery, very difficult to get delivery slots and fresh stuffs and many essential stuff are always ""out of stocks"". How do small businesses / hawkers get convience and sustainable essentials with the limitation of wet-markets access and old folks able to enjoy the so call convience.","NTUC online / digital Platform - need minimum order to get free delivery, very difficult to get delivery slots and fresh stuffs and many essential stuff are always ""out of stocks"". How do small businesses / hawkers get convience and sustainable essentials with the limitation of wet-markets access and old folks able to enjoy the so call convience.",negative,worry
"i am not saying our government is incompetent, they probably are a top tier group but they really need a better leader to use them and bring the people together","i am not saying our government is incompetent, they probably are a top tier group but they really need a better leader to use them and bring the people together",negative,worry
Keep safe 🇸🇬 \n\nMy mother is an OFW there.,Keep safe    My mother is an OFW there.,positive,neutral
Eggs from Poland and shrimps from Saudi Arabia,Eggs from Poland and shrimps from Saudi Arabia,neutral,neutral
I love Singapore 💕💕💕,I love Singapore ,positive,love
"With all due respect Mr.Lee, majority is not really afraid of the virus but are afraid of job loss. Well renowned doctors around the world are raising their voices stating that the Covid virus is very less severe to justify a lockdown. There are many news media those are caught staging drama to falsely portray hospitals as a war zone. For e.g CBS news got caught by faking a Covid testing site as busy. There are voices from well renowned people that this Covid lockdown is an international scam to destroy the current economic system and build a new one with digital currency. Plus push mandatory vaccines to kill off a significant percentage of global population. Because the global elites are concerned about population being high. Hence, there remains a suspicion that a percentage of those that get a Covid vaccine shot is either going to lose their fertility or end up dead after a few years later. Some would say this to be conspiracy theory but this lockdown was also a prediction of a past so called conspiracy theory. So, Mr.Lee please involve some Singapore based researchers to study the disease Covid and make our own conclusion instead of blindly believing what WHO says. They got an agenda sir.","With all due respect Mr.Lee, majority is not really afraid of the virus but are afraid of job loss. Well renowned doctors around the world are raising their voices stating that the Covid virus is very less severe to justify a lockdown. There are many news media those are caught staging drama to falsely portray hospitals as a war zone. For e.g CBS news got caught by faking a Covid testing site as busy. There are voices from well renowned people that this Covid lockdown is an international scam to destroy the current economic system and build a new one with digital currency. Plus push mandatory vaccines to kill off a significant percentage of global population. Because the global elites are concerned about population being high. Hence, there remains a suspicion that a percentage of those that get a Covid vaccine shot is either going to lose their fertility or end up dead after a few years later. Some would say this to be conspiracy theory but this lockdown was also a prediction of a past so called conspiracy theory. So, Mr.Lee please involve some Singapore based researchers to study the disease Covid and make our own conclusion instead of blindly believing what WHO says. They got an agenda sir.",negative,worry
"If they follow China, Singapore will have zero cases now.","If they follow China, Singapore will have zero cases now.",neutral,neutral
"Compared with the content of PM Lee's speech and the speech of a minister whose analysis mask is composed of six parts ....not long ago, the mindset of both of them that are too far apart. The PM is courageous for the goal, however....,  but, the minister has been kept on looking for the constraints/difficulties of masks making.....!","Compared with the content of PM Lee's speech and the speech of a minister whose analysis mask is composed of six parts ....not long ago, the mindset of both of them that are too far apart. The PM is courageous for the goal, however....,  but, the minister has been kept on looking for the constraints/difficulties of masks making.....!",neutral,worry
what's the bet the hong kong and taiwan implosion will help singapore?,what's the bet the hong kong and taiwan implosion will help singapore?,neutral,neutral
Repent & Repay...the Bullshit must end,Repent & Repay...the Bullshit must end,negative,sadness
The Countries with High Fatality Rate over COVID-19: Be Aware of the Health Risks of High Blood Sugar Levels \nhttps://beeigood.com/blog/post/coronavirus-natural-treatment-update,The Countries with High Fatality Rate over COVID-19: Be Aware of the Health Risks of High Blood Sugar Levels  https://beeigood.com/blog/post/coronavirus-natural-treatment-update,negative,worry
"The story should be like that a group of celebrities have their rules to share the advantage of the world, CCP predented to be obedient to obey their rules to work for them till CCP gets powerful and clever and ambitious to announce CCP would like to be the big boss and refuse to share anything with them then no other bosses would like to accept CCP  so CCP incite all poor people to fight against their gov then CCP could take the great advantage from the chaos coz the US powerful military forces would like to be in vain. Remember CCP is the worst boss so all human beings are now used by CCP and finally will be slaved by CCP with CCP 's unique military forces.  And CCP won't take any responsibility which your  government is taking. Then doom will arrive.","The story should be like that a group of celebrities have their rules to share the advantage of the world, CCP predented to be obedient to obey their rules to work for them till CCP gets powerful and clever and ambitious to announce CCP would like to be the big boss and refuse to share anything with them then no other bosses would like to accept CCP  so CCP incite all poor people to fight against their gov then CCP could take the great advantage from the chaos coz the US powerful military forces would like to be in vain. Remember CCP is the worst boss so all human beings are now used by CCP and finally will be slaved by CCP with CCP 's unique military forces.  And CCP won't take any responsibility which your  government is taking. Then doom will arrive.",negative,sadness
Im more concerned as to why he did not drink his holy water.,Im more concerned as to why he did not drink his holy water.,positive,worry
entire time i was waiting for phase 2 date...,entire time i was waiting for phase 2 date...,neutral,neutral
He is the best PM in S'pore right now.,He is the best PM in S'pore right now.,positive,happiness
"I have been appealing from your PM office, repeatedly.\n\nThat me and my familieshave been issued a notice of eviction from my landlord due to CoviD stay home. When are you going to help me ? Been asking upteen times. I got no job , no money and soon becomes homeless. \n\nSo help me please.","I have been appealing from your PM office, repeatedly.  That me and my familieshave been issued a notice of eviction from my landlord due to CoviD stay home. When are you going to help me ? Been asking upteen times. I got no job , no money and soon becomes homeless.   So help me please.",negative,worry
"We should not be buying the F-35s, it will save us a lot of money.  Firstly stealth doesn't really apply to our assumed enemies, F-35 is only good for long distance engagement and sucks at dogfights.  Either the SU-57 or the J20 will be better for our case. Secondly a lot of countries buy F-35 because some of the parts will be manufactured in that country but for us, it is almost nil.  If not to upset the balance between US and China relationships, think we should just still focus on the F-16V or something similar to that.","We should not be buying the F-35s, it will save us a lot of money.  Firstly stealth doesn't really apply to our assumed enemies, F-35 is only good for long distance engagement and sucks at dogfights.  Either the SU-57 or the J20 will be better for our case. Secondly a lot of countries buy F-35 because some of the parts will be manufactured in that country but for us, it is almost nil.  If not to upset the balance between US and China relationships, think we should just still focus on the F-16V or something similar to that.",negative,worry
P/m i has buy a 2 room bot and taking the key on end of this months but because of covid 19 i has losse my jod and i loans from hdb because of this i cant give me loans and i need this house p/m can u please heep me can thanks,P/m i has buy a 2 room bot and taking the key on end of this months but because of covid 19 i has losse my jod and i loans from hdb because of this i cant give me loans and i need this house p/m can u please heep me can thanks,neutral,worry
"Trust your government will look after you. They will get you a job or give you a grant. Just be a good citizen, download your Covid app, wear your tracker and take your vaccine. Oh and don't forget to wear your mask. But whatever you do don't think for yourself and god forbid don't wake up.","Trust your government will look after you. They will get you a job or give you a grant. Just be a good citizen, download your Covid app, wear your tracker and take your vaccine. Oh and don't forget to wear your mask. But whatever you do don't think for yourself and god forbid don't wake up.",positive,worry
"Has he mentioned anything about launching an inquiry into the foreign workers' dorms? We got like over 10,000 cases from there? \r\nWhat happened to the quarantine plan at the dorms? MP Tan Chuan Jin debated this before in Parliament in 2015.\r\nWhere is the commissioner for foreign employee dormitories?\r\nWhy has MP Josephine Teo not apologised? She said something about you don't need a lot of space to multiply?\r\nAnd MP Chan Chun Seng, masks are good, why did he scorn HK for wearing masks. Is he a scientist?\r\nAnd where are the swab test kits? It has been four months since our first case. \r\nSo no talk about making more babies then?\r\nBut NDP must go on?\r\nAnd elections still all green?\r\nS. Korea was able to hold its elections well because i) test kits ii) masks, and iii) contact tracing. Sg only has contact tracing. \r\nSo many questions...","Has he mentioned anything about launching an inquiry into the foreign workers' dorms? We got like over 10,000 cases from there? \r What happened to the quarantine plan at the dorms? MP Tan Chuan Jin debated this before in Parliament in 2015.\r Where is the commissioner for foreign employee dormitories?\r Why has MP Josephine Teo not apologised? She said something about you don't need a lot of space to multiply?\r And MP Chan Chun Seng, masks are good, why did he scorn HK for wearing masks. Is he a scientist?\r And where are the swab test kits? It has been four months since our first case. \r So no talk about making more babies then?\r But NDP must go on?\r And elections still all green?\r S. Korea was able to hold its elections well because i) test kits ii) masks, and iii) contact tracing. Sg only has contact tracing. \r So many questions...",neutral,worry
